Id	Label	type	date
OC212	Alma niña, ¿quieres, di	ref	1609
OC213	No son todos ruiseñores	ref	1609
OC214	Los montes que el pie se lavan	ref	1609
OC215	Esperando están la rosa	ref	1609
OC216	En el baile del ejido	ref	1609
OC217	Ardiendo en aguas muertas llamas vivas	ref	1610
OC218	El cuarto Enrico yace mal herido	ref	1610
OC219	Pálida restituye a su elemento	ref	1610
OC220	Nilo no sufre márgenes, ni muros	ref	1610
OC221	Señores corteggiantes, ¿quién sus días	ref	1610
OC222	La fuerza que infestando las ajenas	ref	1610
OC223	En roscas de cristal serpiente breve	ref	1610
OC224	Larache, aquel africano	ref	1610
OC225	Esta bayeta forrada	ref	1610
OC226	Recibid ambas a dos	ref	1610
OC227	Dos conejos, prima mía	ref	1610
OC228	Sin duda os valdrá opinión	ref	1610
OC229	Apeóse el caballero	ref	1610
OC230	Aunque entiendo poco griego	ref	1610
OC231	Saliéndome estotro día	ref	1610
OC232	Consagróse el seráfico Mendoza	ref	1611
OC233	Este, que Babia al mundo hoy ha ofrecido	ref	1611
OC234	El conde mi señor se fue a Napóles	ref	1611
OC235	Si ya el griego orador la edad presente	ref	1611
OC236	A la que España toda humilde estrado	ref	1611
OC237	No de fino diamante, o rubí ardiente	ref	1611
OC238	Máquina funeral, que desta vida	ref	1611
OC239	Ícaro de bayeta, si de pino	ref	1611
OC240	Oh bien haya Jaén, que en lienzo prieto	ref	1611
OC241	En esta, que admiráis, de piedras graves	ref	1611
OC242	La perla que esplendor fue	ref	1611
OC243	Ociosa toda virtud	ref	1611
OC244	Por más daños que presumas	ref	1611
OC245	No me pidáis más, hermanas	ref	1611
OC246	La que ya fue de las aves	ref	1611
OC247	Murió Frontalete, y hallo	ref	1611
OC248	Tenemos un doctorando	ref	1611
OC249	Cloris, el más bello grano	ref	1611
OC250	Urnas plebeyas, túmulos reales	ref	1612
OC251	Oh de alto valor, de virtud rara	ref	1612
OC252	Este, que en traje lo admiráis togado	ref	1612
OC253	Poco después que su cristal dilata	ref	1612
OC254	Despidióse el francés con grasa buena	ref	1612
OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
OC256	Por este culto bien nacido prado	ref	1612
OC257	Cuán venerables que son	ref	1612
OC258	No vengo a pedir silencio	ref	1612
OC259	Ceñida, si asombrada no, la frente	ref	1613
OC260	En hábito de ladrón	ref	1613
OC261	Don Juan soy, del Castillejo	ref	1613
OC262	En vez de acero bruñido	ref	1613
OC263	Cuántos silbos, cuántas voces	ref	1613
OC264A	Pasos de un peregrino son, errante [Dedicatoria Soledades]	ref	1613
OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
OC264C	Éntrase el mar por un arroyo breve [Soledad Segunda]	ref	1614
OC265	Si ociosa no, asistió naturaleza	ref	1613
OC266	Vive en este volumen el, que yace	ref	1613
OC267	Segundas plumas son, oh lector, cuantas	ref	1613
OC268	Salí, señor don Pedro, esta mañana	ref	1613
OC269	Esta en forma elegante, oh peregrino	ref	1613
OC270	A la Mamora, militares cruces	ref	1613
OC271	Llegué, señora tía, a la Mamora,	ref	1614
OC272	Escribís, oh Cabrera, del segundo	ref	1614
OC273	Moriste en plumas no, en prudencia cano,	ref	1614
OC274	A la pendiente cuna	ref	1614
OC275	Royendo sí, mas no tanto,	ref	1614
OC276	Sotés, así os guarde Dios,	ref	1614
OC277	"Yace Bonamí; mejor"	ref	1614
OC278	La vaga esperanza mía	ref	1614
OC279	Al campo salió, el estío,	ref	1614
OC280	Contando estaban sus rayos	ref	1614
OC281	Cuatro o seis desnudos hombros	ref	1614
OC282	De la semilla, caída	ref	1614
OC283	Al pie de un álamo negro,	ref	1614
OC284	Hojas de inciertos chopos el nevado	ref	1615
OC285	Un culto Risco en venas hoy süaves	ref	1615
OC286	Entre las hojas cinco generosa,	ref	1615
OC287	No entre las flores, no, señor don Diego,	ref	1615
OC288	Pisó las calles de Madrid el fiero	ref	1615
OC289	En villa humilde sí, no en vida ociosa,	ref	1615
OC290	Restituye a tu mudo horror divino,	ref	1615
OC291	La vidrïera mejor	ref	1615
OC292	Tres vïolas del cielo,	ref	1615
OC293	Perdona al remo, Lícidas, perdona	ref	1615
OC294	Ya que al de Béjar le agrada	ref	1615
OC295	Cuando toquen a los maitines,	ref	1615
OC296	No solo el campo nevado	ref	1615
OC297	"Ven al portal, Mingo, ven;"	ref	1615
OC298	¿A que tangem em Castella?	ref	1615
OC299	¿Cuál podréis, Judea, decir	ref	1615
OC300	Al gualete, hejo	ref	1615
OC301	Niño, si por lo que tienes	ref	1615
OC302	Esta noche un Amor nace,	ref	1615
OC303	¡Oh, qué vimo, Mangalena!	ref	1615
OC304	¿Qué gente, Pascual, qué gente?	ref	1615
OC305	¡Oh, qué verás, Carillejo,	ref	1615
OC306	Generoso esplendor, si no luciente,	ref	1616
OC307	Esta, que admiras, fábrica, esta prima	ref	1616
OC308	Piadoso hoy celo, culto	ref	1616
OC309	Tenía Mari Nuño una gallina	ref	1616
OC310	Era la noche, en vez del manto obscuro	ref	1616
OC311	En vez de las Helíades, ahora	ref	1617
OC312	Florido en años, en prudencia cano,	ref	1617
OC313	Si arrebatado merecí algún día	ref	1617
OC314	Cristales el Po desata	ref	1617
OC315	Caballo que despediste,	ref	1617
OC316	El racimo que ofreció	ref	1618
OC317	La ciudad de Babilonia,	ref	1618
OC318	En vez, Señora, del cristal luciente,	ref	1619
OC319	Esta de flores, cuando no divina,	ref	1619
OC320	La Aurora, de azahares coronada,	ref	1619
OC321	¿En año quieres que plural cometa	ref	1619
OC322	Tonante monseñor, ¿de cuándo acá	ref	1619
OC323	Vamos, Filis, al vergel,	ref	1619
OC324	Guerra me hacen dos cuidados	ref	1619
OC325	Ya que indignada caída	ref	1619
