Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
1636_compendio-poetico	OC116	ref		1636	Villar, Francisco del	Pender de un leño, traspasado el pecho	1600
1636_compendio-poetico	OC78	ref		1636	Villar, Francisco del	Hoy es el sacro y venturoso día	1590
1636_compendio-poetico	OC211	ref		1636	Villar, Francisco del	Oveja perdida, ven	1609
1636_compendio-poetico	OC299	ref		1636	Villar, Francisco del	¿Cuál podréis, Judea, decir	1615
1636_compendio-poetico	OC369	ref		1636	Villar, Francisco del	Caído se le ha un clavel	1621
1636_compendio-poetico	OC409	ref		1636	Villar, Francisco del	Nace el niño y, velo a velo,	1624
1636_compendio-poetico	Luis de Góngora	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	nuestro poeta	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Plauto	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Aristóteles	authority		1636	Villar, Francisco del					
1636_compendio-poetico	el príncipe de las nuestras	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Terencio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Plauto	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Aristóteles	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Homero	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Virgilio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Plauto	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Francisco de Barreda	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Horacio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Luis de Góngora	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Terencio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Plauto	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Luis de Góngora	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	el mayor poeta de España	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Alonso de Ercilla	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Cairasco	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Figueroa	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Luis de Camoens	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Hernando de Herrera	authority		1636	Villar, Francisco del					
1636_compendio-poetico	conde de Salinas	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Mira de Mescua	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Josef de Valdivielso	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Ledesma	authority		1636	Villar, Francisco del					
